ID	Rt	Mz	QC1-NEG	QC2-NEG	QC3-NEG	QC4-NEG	QC5-NEG	VA1EE1-NEG	VA1EE2-NEG	VA1EE3-NEG	VA1EM1-NEG	VA1EM2-NEG	VA1EM3-NEG	VB1EE1-NEG	VB1EE2-NEG	VB1EE3-NEG	VB1EM1-NEG	VB1EM2-NEG	VB1EM3-NEG	VC1EE1-NEG	VC1EE2-NEG	VC1EE3-NEG	VC1EM1-NEG	VC1EM2-NEG	VC1EM3-NEG	BLK	MIX	QC	VAEE	VAEM	VBEE	VBEM	VCEE	VCEM
859	5.60	152.0424	175000	197000	190000	186000	153000	22500	18300	20747	32728	27611	64397	52986	41057	26471	29075	17942	50370	893236	1323573	812590	227869	222193	257690	19456	702365	180225	20505	41579	40172	32462	1009800	235917
860	0.92	152.8661	24200	18700	12600	13600	14000	0	24600	0	0	0	9041	0	35727	13490	138249	16348	118382	0	0	0	13310	0	0	4089	0	16635	8196	3014	16406	90993	0	4437
877	5.21	153.0181	125000	89200	110000	97700	95500	100000	79700	83583	63456	103937	97790	95540	105770	93139	109108	97080	105745	101642	85441	99210	100085	80520	85591	52289	1894628	103562	87867	88395	98150	103978	95431	88732
878	2.97	153.0181	158000	173000	139000	162000	149000	70900	62400	83776	51198	64055	89921	193435	165341	154861	246292	116603	288542	84917	171852	112034	58998	55575	52101	30701	60367820	156175	72354	68391	171212	217146	122934	55558
879	17.83	153.0181	116000	49700	130000	62700	102000	58200	70300	72797	56685	101761	77539	56165	87762	57861	71657	105532	105517	114622	92789	90905	73497	96254	60177	52136	184287	91925	67083	78662	67263	94235	99439	76642
880	1.51	153.0186	261000	286000	314000	308000	329000	234000	231000	315325	85817	138823	215023	376384	459461	405218	395610	218372	445624	354661	484399	335994	88685	87490	72951	26745	35846648	299702	260322	146554	413688	353202	391685	83042
881	4.09	153.0186	68700	59200	57800	34200	38400	32800	37000	53860	40562	58452	47910	38237	54303	51034	62488	54194	59984	76763	76349	66033	61643	68155	62794	35383	12621806	51636	41207	48974	47858	58889	73048	64197
882	4.62	153.0186	73600	98800	68700	82000	48000	52500	43900	44095	74283	48012	57274	61015	94037	66458	68007	37201	62352	67412	65140	78821	53028	62239	76496	40599	14952255	74222	46831	59856	73837	55853	70458	63921
883	4.76	153.0186	77500	71600	91000	77700	59700	70500	87100	61289	64126	79451	67425	60352	68454	67857	63364	62413	84738	86943	89887	55385	56689	72149	78475	54197	1374376	75509	72981	70334	65554	70172	77405	69105
884	5.63	153.0186	118000	106000	86700	91900	131000	93000	63900	81598	67187	93482	67338	80042	106424	79497	108233	83890	103371	96805	89623	101245	91042	117679	96464	61089	1053200	106714	79505	76002	88654	98498	95891	101728
885	0.87	153.0186	78600	23100	182000	34300	178000	42200	35600	62685	37470	38435	16324	256586	263479	67890	61767	80425	68595	122386	127070	23158	20769	29338	23797	51889	226773	99236	46820	30743	195985	70262	90871	24635
886	2.74	153.0186	88800	57000	84200	84700	79400	46100	50100	31931	15995	45041	43760	82873	114625	101141	97878	56465	116740	73067	87728	74823	40328	51032	56953	30062	103386712	78844	42729	34932	99546	90361	78539	49438
887	3.46	153.0186	52900	38100	59900	45300	39600	46600	25400	53367	35191	28791	39376	73256	59561	45097	70851	54032	59472	62177	49571	79190	39543	56443	61596	38542	6632048	47151	41773	34453	59305	61451	63646	52527
888	3.71	153.0186	66300	49800	43500	63700	39300	38000	28200	47015	36095	49365	30523	51645	35767	56944	53025	55525	45644	35288	72103	61025	68123	69869	40146	28255	17472192	52507	37750	38661	48119	51398	56139	59379
889	6.25	153.0186	122000	68700	72000	64600	77100	55200	75800	99019	59574	72961	68495	96110	113716	93222	299870	61369	493263	109422	91788	85820	82082	93233	80238	62344	656812	80805	76656	67010	101016	284834	95677	85184
890	1.71	153.0549	9570	18600	23000	12400	14000	113000	99600	170212	11205	15625	72625	73858	10341	8875	40493	8071	9757	9876	9465	11065	16091	10385	32676	7840	9922	15508	127520	33152	31025	19440	10135	19717
891	4.54	153.0550	1570000	1850000	1630000	1960000	1920000	375000	359000	411525	138825	260092	331640	1831327	2020075	1770318	5842678	2623254	5806272	1355666	1957636	1423294	299429	297307	228477	8031	294306	1787236	382051	243519	1873907	4757401	1578865	275071
892	5.03	153.0550	173000	1290000	57400	33800	1020000	7580	12700	11391	11565	10869	9549	449796	449185	421094	211534	23682	43245	17568	10287	8840	49552	40570	61172	9437	258131	513737	10564	10661	440025	92820	12232	50431
893	2.30	153.0783	10000	0	14700	0	0	0	0	0	0	0	0	0	0	0	8263	9041	0	0	0	0	0	0	68242	0	756133	4942	0	0	0	5768	0	22747
906	0.72	153.9934	0	8960	0	0	0	0	0	0	0	0	0	0	0	0	10289	0	9882	0	0	0	82375	0	51307	3809	186391	1792	0	0	0	6724	0	44561
909	4.95	154.0610	21100	16400	20600	9890	11300	3580	9700	7364	1808	31513	17764	24727	18373	24822	67087	42288	96453	4696	3083	2278	659	8400	10431	3264	10259	15849	6882	17028	22640	68609	3353	6497
910	0.59	154.0614	2580000	2760000	2580000	2610000	2870000	6610000	8190000	8357349	6376131	10042606	7951253	391788	436163	492918	730859	299678	855912	82104	9315	8783	93020	98072	122465	101506	806917	2681411	7716790	8123330	440290	628816	33400	104519
911	2.17	154.1014	0	0	0	0	0	0	0	0	0	0	0	0	9001	0	0	8233	0	0	0	0	484242	73876	214706	2160	0	0	0	0	3000	2744	0	257608
912	2.22	154.1041	0	0	0	0	0	0	0	0	0	0	0	0	9001	0	0	8233	0	0	0	0	231538	178581	22029	5141	0	0	0	0	3000	2744	0	144049
